Time(nanoseconds=1760079941270408048, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03878107
Time(nanoseconds=1760079941472571641, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.038763836
Time(nanoseconds=1760079941671562707, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.039032094
Time(nanoseconds=1760079941872726936, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.039058857
Time(nanoseconds=1760079942072338197, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03960103
Time(nanoseconds=1760079942272972113, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03978845
Time(nanoseconds=1760079942471475657, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03937001
Time(nanoseconds=1760079942671604761, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.039062764
Time(nanoseconds=1760079942872088763, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.039308436
Time(nanoseconds=1760079943070428284, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.039497107
Time(nanoseconds=1760079943271521181, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03955425
Time(nanoseconds=1760079943471471560, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03926569
Time(nanoseconds=1760079943669848122, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.038221616
Time(nanoseconds=1760079943871726588, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.038036194
Time(nanoseconds=1760079944070480879, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.037691828
Time(nanoseconds=1760079944270035298, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03754646
Time(nanoseconds=1760079944471674899, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03704377
Time(nanoseconds=1760079944672526811, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036536332
Time(nanoseconds=1760079944871957918, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035809446
Time(nanoseconds=1760079945071869447, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035503756
Time(nanoseconds=1760079945271823826, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035592247
Time(nanoseconds=1760079945471784456, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035385564
Time(nanoseconds=1760079945671804598, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03559962
Time(nanoseconds=1760079945871708246, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03642713
Time(nanoseconds=1760079946072527387, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036544297
Time(nanoseconds=1760079946272222450, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036823463
Time(nanoseconds=1760079946471295489, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036971584
Time(nanoseconds=1760079946671772421, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.037781425
Time(nanoseconds=1760079946871582588, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03743412
Time(nanoseconds=1760079947071485047, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03748542
Time(nanoseconds=1760079947271645331, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.037350055
Time(nanoseconds=1760079947471654703, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036991198
Time(nanoseconds=1760079947671644964, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036890015
Time(nanoseconds=1760079947871794858, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036494695
Time(nanoseconds=1760079948071588514, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03618493
Time(nanoseconds=1760079948271096994, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035955332
Time(nanoseconds=1760079948471273519, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035798833
Time(nanoseconds=1760079948671956037, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035712168
Time(nanoseconds=1760079948871871416, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035450127
Time(nanoseconds=1760079949071102989, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035998978
Time(nanoseconds=1760079949270012473, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036134016
Time(nanoseconds=1760079949469766459, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03617786
Time(nanoseconds=1760079949671489172, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036472317
